SIZE;;ERM-262;;;ERM-263;;;ERM-263(r) ;;;ERM-264(1);;;ERM-264(1r);;;ERM-264(2);;;ERM-264(2r);;;ERM-265;;;ERM-266;;;ERM-267;;;ERM-267(r) ;;;ERM-268(1);;;ERM-268(2);;;ERM-269;;;ERM-270(1);;;ERM-270(1r);;;ERM-270(2);;;ERM-270(2r);;;ERM-271;;;ERM-272;;;ERM-273;;;ERM-274;;;ERM-275;;;ERM-276;
PDI;0.586;0.579;0.564;0.353;0.378;0.349;0.227;0.278;0.331;1;1;1;0.621;0.616;0.616;1;1;1;0.437;0.438;0.436;0.131;0.134;0.143;0.224;0.218;0.22;0.635;0.624;0.623;0.719;0.695;0.569;0.11;0.105;0.091;0.077;0.09;0.077;0.16;0.18;0.146;1;1;0.973;0.21;0.209;0.186;0.251;0.246;0.249;0.189;0.207;0.205;0.201;0.214;0.199;0.117;0.144;0.122;0.193;0.208;0.2;0.074;0.077;0.076;0.093;0.111;0.117;0.214;0.179;0.194
X Intensity;R1.262;R2.262;R3.262;R1.263;R2.263;R3.263;R1.263(r) ;R2.263(r) ;R3.263(r);R1.264(1);R2.264(1);R3.264(1);R1.264(1r);R2.264(1r);R3.264(1r);R1.264(2);R2.264(2);R3.264(2);R1.264(2r);R2.264(2r);R3.264(2r);R1.265;R2.265;R3.265;R1.266;R2.266;R3.266;R1.267;R2.267;R3.267;R1.267(r) ;R2.267(r) ;R3.267(r) ;R1.268(1);R2.268(1);R3.268(1);R1.268(2);R2.268(2);R3.268(2);R1.269;R2.269;R3.269;R1.270(1);R2.270(1);R3.270(1);R1.270(1r);R2.270(1r);R3.270(1r);R1.270(2);R2.270(2);R3.270(2);R1.270(2r);R2.270(2r);R3.270(2r);R1.271;R2.271;R3.271;R1.272;R2.272;R3.272;R1.273;R2.273;R3.273;R1.274;R2.274;R3.274;R1.275;R2.275;R3.275;R1.276;R2.276;R3.276
0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.85;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.61;0.37;0.208;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.798;0.723;0.454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.5;0.663;0.642;0.765;0;0;0;0;0;0;0.156;0;0;0.256;0.227;0;0.2;0.116;0;0.106;0.17;0.921;0;0;0;2.42;2.3;1.95;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.53;0.968;1.15;1.4;0;0;0;0;0;0;1.1;0.815;0.655;1.89;1.72;1.41;1;1.06;0.403;1.99;2.17;2.83;0;0;0;4.6;4.46;4.28;0;0.18;0.48;0;0.224;0.624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.72;1.26;1.57;1.8;0;0;0;0;0;0;2.46;2.29;2.34;4.4;4.14;4.03;2.14;2.25;1.5;5.21;5.4;5.27;0;0;0;6.9;6.79;6.91;0.917;0.929;1.16;0.984;0.942;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.1;1.51;1.8;1.87;0;0;0;0;0;0;3.62;3.78;4.08;6.86;6.64;6.79;3.07;3.02;2.75;8.57;8.64;7.63;0;0;0;8.93;8.87;9.28;2.12;1.65;1.57;2.04;1.67;1.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.7;1.68;1.83;1.64;0;0;0;0;0;0;4.16;4.67;4.91;8.49;8.44;8.73;3.37;3.1;3.53;11;10.8;9.37;0;0;0;10.4;10.4;11;2.38;1.83;1.53;2.24;1.91;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.5;1.74;1.69;1.25;0;0;0;0;0;0;3.98;4.64;4.53;8.94;9.08;9.36;2.95;2.62;3.53;11.8;11.5;10.2;0;0;0;11.1;11.2;11.8;1.44;1.4;1.14;1.51;1.55;0.979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.7;1.64;1.45;0.848;0;0;0;0;0;0;3.27;3.78;3.25;8.22;8.51;8.68;2.03;1.9;2.86;11;10.6;9.99;0;0;0;11;11.1;11.6;0.258;0.704;0.662;0.506;0.849;0.558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.2;1.39;1.15;0.535;0.249;0.0548;0;0;0;0;2.4;2.47;1.76;6.67;7.01;7.05;1.04;1.24;1.88;8.92;8.67;8.92;0;0;0;10.2;10.4;10.7;0;0.164;0.311;0;0.241;0.295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1.04;0.857;0.372;0.77;0.183;0;0.149;0;0;1.68;1.19;0.669;4.73;5.02;5;0.371;0.824;0.976;6.25;6.17;7.26;0;0;0;8.89;9.05;9.08;0;0;0.172;0;0;0.251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.4;0.662;0.594;0.381;1.25;0.366;0;0.469;0;0;1.28;0.318;0.285;2.84;3.03;3;0.234;0.665;0.415;3.64;3.72;5.33;0;0;0;7.25;7.38;7.15;0;0;0.191;0;0;0.346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.2;0.364;0.418;0.558;1.42;0.568;0;0.758;0;0;1.18;0;0.524;1.33;1.42;1.42;0.56;0.672;0.242;1.61;1.76;3.46;0;0;0;5.48;5.58;5.15;0;0;0.248;0;0;0.428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32.7;0.249;0.393;0.894;1.24;0.762;0;0.83;0.12;0.0884;1.2;0.108;1.04;0.388;0.411;0.421;1.07;0.725;0.331;0.411;0.516;1.9;0;0.546;0;3.79;3.85;3.32;0;0;0.239;0;0;0.378;0.388;0;0;0;0.182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.755;0.335;0.1;0;0;0;0;0;0
37.8;0.401;0.591;1.38;0.825;0.941;0;0.637;0.491;0.455;1.13;0.492;1.41;0;0;0;1.41;0.732;0.482;0;0;0.801;1.09;1.94;0.984;2.34;2.36;1.83;0;0;0.145;0;0;0.2;2.32;1.64;0.956;1.86;2.33;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;3.09;2.68;0;0;0;0;0;0
43.8;0.871;1.07;2;0.427;1.13;0.117;0.298;0.978;1.04;0.872;0.911;1.4;0;0;0;1.35;0.663;0.54;0;0;0.199;3.6;4.16;3.47;1.23;1.22;0.789;0;0;0.0354;0;0;0.0265;5.59;5.02;4.18;6.04;6.27;6.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.04;7.82;7.4;0;0.175;0.859;0;0;0
50.7;1.66;1.86;2.75;0.288;1.37;0.485;0.051;1.47;1.72;0.466;1.15;1.01;0.209;0.146;0.162;0.902;0.537;0.453;0.0215;0.149;0;7;6.91;6.94;0.494;0.477;0.206;0;0;0;0;0;0;9.36;9.19;8.92;11.3;10.9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.7;12.9;12.7;1.83;2.17;3.13;0;0;0
58.8;2.73;2.94;3.6;0.585;1.72;1.15;0.168;1.96;2.41;0.113;1.12;0.476;0.62;0.476;0.475;0.33;0.397;0.276;0.234;0.477;0;10.4;9.71;10.5;0.114;0.103;0;0;0;0;0;0;0;12.7;13;13.6;15.7;14.7;15.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.113;0.368;0.0244;0;0;0;16.2;16.7;16.7;5.8;5.92;6.49;0.209;0;0
68.1;4;4.22;4.49;1.38;2.22;2.1;0.863;2.54;3.07;0;0.846;0.0901;1.17;0.955;0.899;0;0.28;0.116;0.659;0.944;0.112;13.1;12;13.3;0;0;0;0;0;0;0;0;0;14.7;15.4;16.7;18;16.8;17.5;0;0;0;0;0.217;0;0.28;0.0723;0;0;0.0909;0;0;0;0;0;0;0;1.88;2.25;1.77;0;0.0929;0.125;17.4;18;18.2;10.8;10.4;10.2;0.556;0;0
